0.4626 0.7351
0.5554 0.3335
0.0704 0.7201
0.6991 0.2102
0.5256 0.2688
0.7633 0.0431
0.8376 0.8678
0.2574 0.7629
0.3348 0.2935
0.2468 0.0245
0.2396 0.4037
0.8063 0.2833
0.0661 0.6878
0.9712 0.7603
0.6728 0.9074
0.043 0.869
0.1358 0.1807
0.315 0.0077
0.1875 0.9272
0.3555 0.8017
0.4208 0.6284
0.5711 0.9515
0.7062 0.07
0.7433 0.7913
0.8881 0.1034
0.9361 0.683
0.9498 0.1888
0.5301 0.4881
0.7059 0.2922
0.2189 0.1341
0.7944 0.7671
0.8746 0.5461
0.9602 0.8933
0.2026 0.4389
0.862 0.7384
0.2093 0.9471
0.05 0.3168
0.7913 0.2117
0.3211 0.0538
0.2004 0.2811
0.9299 0.5405
0.2857 0.3969
0.4977 0.8776
0.1608 0.5398
0.5395 0.2515
0.7258 0.0372
0.5727 0.2616
0.0207 0.8619
0.9594 0.2854
0.2588 0.7068
0.5721 0.3908
0.7598 0.9383
0.522 0.5479
0.2109 0.7415
0.3318 0.7849
0.4283 0.2445
0.5866 0.163
0.4369 0.6968
0.4231 0.9068
0.1025 0.1722
0.3017 0.3998
0.7985 0.4438
0.439 0.9853
0.2453 0.1833
0.5815 0.808
0.994 0.3529
0.5501 0.5017
0.0653 0.042
0.0813 0.3199
0.602 0.8289
0.9451 0.9661
0.8781 0.1261
0.6034 0.0172
0.2584 0.9372
0.5355 0.9525
0.2309 0.7829
0.1573 0.4526
0.7743 0.3847
0.8153 0.2838
0.4882 0.1118
0.6042 0.4231
0.213 0.4904
0.972 0.5539
0.3251 0.8318
0.017 0.7049
0.6851 0.231
0.122 0.7982
0.578 0.0401
0.5515 0.4266
0.6105 0.5988
0.2419 0.4602
0.8197 0.9056
0.9443 0.2531
0.8084 0.745
0.5984 0.687
0.555 0.6477
0.8498 0.8262
0.6379 0.7698
0.0911 0.8025
0.3048 0.035
0.7111 0.4298
0.3327 0.0134
0.8386 0.1152
0.911 0.2882
0.7761 0.0913
0.1926 0.4465
0.0096 0.7559
0.4379 0.6408
0.3135 0.5588
0.2327 0.9774
0.9737 0.122
0.3746 0.2899
0.2275 0.9986
0.4716 0.0996
0.9337 0.3559
0.8886 0.8752
0.4919 0.915
0.393 0.0516
0.9623 0.2237
0.9569 0.2421
0.4662 0.406
0.8209 0.7892
0.0702 0.2443
0.6649 0.5871
0.1808 0.8257
0.7739 0.0449
0.5254 0.7678
0.5583 0.375
0.6798 0.5541
0.6257 0.0546
0.7972 0.8228
0.8298 0.4699
0.9359 0.0399
0.6266 0.9261
0.054 0.7971
0.7503 0.7131
0.9056 0.7592
0.5238 0.3316
0.1618 0.8391
0.1914 0.0856
0.4483 0.4202
0.0978 0.2922
0.976 0.4508
0.115 0.0112
0.0304 0.2838
0.6083 0.6891
0.822 0.9794
0.8479 0.3045
0.4078 0.4038
0.5471 0.176
0.4399 0.3121
0.1046 0.099
0.8517 0.836
0.2842 0.6582
0.5613 0.0985
0.7765 0.5404
0.6621 0.4852
0.8041 0.1573
0.7899 0.6729
0.8026 0.6686
0.7417 0.79
0.6495 0.5385
0.3486 0.7777
0.7947 0.8465
0.2341 0.344
0.2069 0.8028
0.2607 0.9459
0.999 0.8726
0.6829 0.9873
0.9488 0.4268
0.3057 0.234
0.066 0.5264
0.4169 0.0861
0.5248 0.9075
0.1571 0.1292
0.551 0.5135
0.1269 0.1792
0.4137 0.3041
0.2847 0.8281
0.4253 0.0294
0.325 0.7026
0.2738 0.5752
0.2178 0.5416
0.1671 0.2423
0.7791 0.078
0.0745 0.9362
0.591 0.4975
0.6358 0.8538
0.3986 0.9934
0.8762 0.1208
0.8439 0.4165
0.8019 0.3645
0.8323 0.2974
0.2578 0.3689
0.0053 0.6768
0.3883 0.002
0.3295 0.3988
0.4809 0.4554
0.2889 0.6248
0.3929 0.2445
0.4414 0.6255
0.5516 0.878
0.5747 0.8135
0.6919 0.8503
0.1123 0.3997
0.2451 0.378
0.7867 0.766
0.8846 0.4075
0.7545 0.4301
0.5039 0.954
0.801 0.6894
0.8322 0.9455
0.6917 0.5021
0.1873 0.3354
0.5707 0.8971
0.0502 0.9923
0.9012 0.9014
0.9496 0.372
0.063 0.607
0.6247 0.3371
0.6785 0.1085
0.5469 0.5682
0.6448 0.7166
0.6599 0.6227
0.4852 0.1535
0.6635 0.0472
0.8259 0.0288
0.5282 0.7825
0.2501 0.3981
0.3933 0.3536
0.6238 0.2296
0.1699 0.0466
0.3516 0.0999
0.4384 0.3673
0.0533 0.3037
0.0638 0.8294
0.0792 0.81
0.9582 0.481
0.4164 0.1181
0.4508 0.7508
0.8326 0.7968
0.357 0.0863
0.7473 0.6226
0.9205 0.1596
0.9313 0.6384
0.4208 0.425
0.875 0.041
0.7212 0.4776
0.2093 0.8783
0.0157 0.2833
0.2866 0.5762
0.1988 0.1529
0.5173 0.1241
0.3776 0.2309
0.6712 0.0742
0.5918 0.0197
0.0001 0.4832
0.096 0.2768
0.4503 0.5035
0.4 0.6039
0.6826 0.0135
0.5325 0.7969
0.0878 0.7741
0.9576 0.0495
0.34 0.8844
0.17 0.0771
0.5236 0.1918
0.8351 0.2627
0.7081 0.9867
0.0125 0.5173
0.6971 0.4601
0.654 0.3094
0.1378 0.3675
0.4095 0.3614
0.4114 0.6752
0.7126 0.8101
0.5338 0.9841
0.0522 0.8032
0.4161 0.3463
0.979 0.8467
0.2567 0.7405
0.4874 0.3237
